left,front,right,food_angle,sug_direction,move_rating
0.0,0.0,0.0,0.4997639438500797,1.0,-1.0
0.0,0.0,0.0,-0.5007218572183865,1.0,1.0
0.0,0.0,0.0,-0.5002589820364189,1.0,0.0
0.0,0.0,0.0,-0.4992726701582316,0.0,0.0
0.0,0.0,0.0,-0.4992436393305718,1.0,0.0
0.0,0.0,0.0,-0.4997209031767036,-1.0,0.0
0.0,0.0,0.0,-0.4991800105997504,1.0,0.0
0.0,0.0,0.0,-0.4997298727697217,1.0,1.0
0.0,0.0,0.0,-0.5008111881516967,1.0,1.0
0.0,0.0,0.0,-0.5002790968232964,0.0,1.0
0.0,0.0,0.0,-0.500310948032051,0.0,1.0
0.0,0.0,0.0,-0.5003388335803043,1.0,0.0
0.0,0.0,0.0,-0.499247514586539,0.0,0.0
0.0,0.0,0.0,-0.4992202101798877,1.0,0.0
0.0,0.0,0.0,-0.4996210107938145,0.0,0.0
0.0,0.0,0.0,-0.4996569935907468,0.0,0.0
0.0,0.0,0.0,-0.4996986124207076,0.0,0.0
0.0,0.0,0.0,-0.4997456849854352,1.0,1.0
0.0,0.0,0.0,-0.5008774281550739,0.0,1.0
0.0,0.0,0.0,-0.5008343407083137,0.0,1.0
0.0,0.0,0.0,-0.500795022363744,-1.0,0.0
0.0,0.0,0.0,-0.4998547544488698,0.0,0.0
0.0,0.0,0.0,-0.4998958523638794,-1.0,0.0
0.0,0.0,0.0,-0.4991312492320996,0.0,0.0
0.0,0.0,0.0,-0.4990820878740445,-1.0,1.0
0.0,0.0,0.0,-0.5001800395379841,-1.0,1.0
0.0,0.0,0.0,-0.5008537347748072,1.0,1.0
0.0,0.0,0.0,-0.5002039497313371,1.0,0.0
0.0,0.0,0.0,-0.4991225718449261,0.0,0.0
0.0,0.0,0.0,-0.4990752169262687,1.0,0.0
0.0,0.0,0.0,-0.4997977549548061,1.0,1.0
0.0,0.0,0.0,-0.500900198841874,1.0,1.0
0.0,0.0,0.0,-0.500227098783569,-1.0,1.0
0.0,0.0,0.0,-0.5008343407083137,1.0,1.0
0.0,0.0,0.0,-0.5002433562058047,-1.0,1.0
0.0,0.0,0.0,-0.5007750530312638,0.0,1.0
0.0,0.0,0.0,-0.5007417051314883,0.0,1.0
0.0,0.0,0.0,-0.5007108764214762,1.0,1.0
0.0,0.0,0.0,-0.5002113436199326,1.0,0.0
0.0,0.0,0.0,-0.4992781427816136,-1.0,1.0
0.0,0.0,0.0,-0.5002589820364189,-1.0,1.0
0.0,0.0,0.0,-0.5006741682071346,1.0,1.0
0.0,0.0,0.0,-0.5002613381953567,-1.0,1.0
0.0,0.0,0.0,-0.5006313854306239,-1.0,0.0
0.0,0.0,0.0,-0.4997813967867958,1.0,1.0
0.0,0.0,0.0,-0.5006270669553929,0.0,1.0
0.0,0.0,0.0,-0.5006055743766851,0.0,1.0
0.0,0.0,0.0,-0.5005853353859782,-1.0,0.0
0.0,0.0,0.0,-0.4998470491208203,0.0,0.0
0.0,0.0,0.0,-0.499868619799881,1.0,1.0
0.0,0.0,0.0,-0.5005868215531754,-1.0,0.0
0.0,0.0,0.0,-0.4998992921995388,0.0,0.0
0.0,0.0,0.0,-0.4999212975141041,-1.0,0.0
0.0,0.0,0.0,-0.4993749409113962,0.0,0.0
0.0,0.0,0.0,-0.4993499010671829,-1.0,1.0
0.0,0.0,0.0,-0.50011762324737,-1.0,1.0
0.0,0.0,0.0,-0.5006174927172518,0.0,1.0
0.0,0.0,0.0,-0.5005950918849095,1.0,1.0
0.0,0.0,0.0,-0.5001218782565228,0.0,1.0
0.0,0.0,0.0,-0.5001420709202197,-1.0,1.0
0.0,1.0,0.0,-0.5005581050528877,-1.0,0.0
0.0,0.0,1.0,-0.4998866417760285,1.0,-1.0
0.0,0.0,0.0,-0.5002762987076567,-1.0,1.0
0.0,0.0,0.0,-0.5004378134566162,-1.0,0.0
0.0,0.0,0.0,-0.4997469017007404,0.0,0.0
0.0,0.0,0.0,-0.4997562817836679,1.0,1.0
0.0,0.0,0.0,-0.5004566810759096,1.0,1.0
0.0,0.0,0.0,-0.5002392492154214,1.0,0.0
0.0,0.0,0.0,-0.4995477976008662,1.0,0.0
0.0,0.0,0.0,-0.4997562817836679,-1.0,0.0
0.0,0.0,0.0,-0.4995234437739961,1.0,0.0
0.0,0.0,0.0,-0.4997521069599664,-1.0,0.0
0.0,0.0,0.0,-0.4994965761652286,1.0,0.0
0.0,0.0,0.0,-0.4997483848656201,0.0,0.0
0.0,0.0,0.0,-0.4997621454626196,-1.0,0.0
0.0,0.0,0.0,-0.4994489861606296,-1.0,1.0
0.0,0.0,0.0,-0.5002688277045411,1.0,0.0
0.0,0.0,0.0,-0.4994533721249017,-1.0,1.0
0.0,0.0,0.0,-0.5003003621402997,-1.0,1.0
0.0,0.0,0.0,-0.5005150507585234,0.0,1.0
0.0,0.0,0.0,-0.5005034238347713,1.0,1.0
0.0,0.0,0.0,-0.5002747299122019,-1.0,1.0
0.0,0.0,0.0,-0.500476556226004,0.0,1.0
0.0,0.0,0.0,-0.5004665464212956,1.0,1.0
0.0,0.0,0.0,-0.5002530982992597,-1.0,1.0
0.0,0.0,0.0,-0.5004434086475683,-1.0,0.0
0.0,0.0,0.0,-0.4997700167832514,-1.0,0.0
0.0,0.0,0.0,-0.4995334535787043,-1.0,1.0
0.0,0.0,0.0,-0.5002530982992597,-1.0,1.0
0.0,0.0,0.0,-0.5004434086475683,0.0,1.0
0.0,0.0,0.0,-0.5004347012429167,0.0,1.0
0.0,0.0,0.0,-0.5004261139510443,1.0,1.0
0.0,0.0,0.0,-0.5002225865613967,-1.0,1.0
0.0,0.0,0.0,-0.5004069243576863,-1.0,0.0
0.0,0.0,0.0,-0.4997965880245337,-1.0,0.0
0.0,0.0,0.0,-0.4995738860489557,-1.0,1.0
0.0,0.0,0.0,-0.5002225865613967,1.0,0.0
0.0,0.0,0.0,-0.4995777137653311,0.0,0.0
0.0,0.0,0.0,-0.499569951716111,0.0,0.0
0.0,0.0,0.0,-0.4995621865433839,1.0,0.0
0.0,0.0,0.0,-0.4997469017007404,0.0,0.0
0.0,0.0,0.0,-0.4997562817836679,1.0,1.0
0.0,0.0,0.0,-0.5004566810759096,-1.0,0.0
0.0,0.0,0.0,-0.4997803220903299,-1.0,0.0
0.0,0.0,0.0,-0.4995192558838176,1.0,0.0
0.0,0.0,0.0,-0.4997785002468877,0.0,0.0
0.0,0.0,0.0,-0.4997913940589904,0.0,0.0
0.0,0.0,0.0,-0.4998054911114138,-1.0,0.0
0.0,0.0,0.0,-0.4994636905759193,1.0,0.0
0.0,0.0,0.0,-0.4998081545892872,1.0,1.0
0.0,0.0,0.0,-0.5005336763016311,-1.0,0.0
0.0,0.0,0.0,-0.499837231591299,-1.0,0.0
0.0,0.0,0.0,-0.4994372293636628,0.0,0.0
0.0,0.0,0.0,-0.4994187316237096,0.0,0.0
0.0,0.0,0.0,-0.4993991672649394,-1.0,1.0
0.0,0.0,0.0,-0.5002212397447108,1.0,0.0
0.0,0.0,0.0,-0.4993960563744615,1.0,0.0
0.0,0.0,0.0,-0.4997819197649455,0.0,0.0
0.0,0.0,0.0,-0.4998041479727274,0.0,0.0
0.0,0.0,0.0,-0.49982820061440103,-1.0,0.0
0.0,0.0,0.0,-0.4993213401948138,1.0,0.0
0.0,0.0,0.0,-0.4998409214080072,0.0,0.0
0.0,0.0,0.0,-0.4998704055471959,0.0,0.0
0.0,0.0,0.0,-0.4999013991332994,1.0,1.0
0.0,0.0,0.0,-0.5006861688814915,-1.0,0.0
0.0,0.0,0.0,-0.4999392352840338,-1.0,0.0
0.0,0.0,0.0,-0.4992760243821896,1.0,0.0
0.0,0.0,0.0,-0.4999665809374719,0.0,0.0
0.0,0.0,0.0,0.5,-1.0,0.0
0.0,0.0,0.0,0.4992348312674464,0.0,0.0
0.0,0.0,0.0,0.4991961863017934,-1.0,1.0
0.0,0.0,0.0,-0.5000404933196421,0.0,1.0
0.0,0.0,0.0,-0.5000803731667423,0.0,1.0
0.0,0.0,0.0,-0.5001190566627789,0.0,1.0
0.0,0.0,0.0,-0.5001560189682037,1.0,0.0
0.0,0.0,0.0,-0.4991900941536945,-1.0,1.0
0.0,0.0,0.0,-0.5002102776591637,0.0,1.0
0.0,0.0,0.0,-0.5002452058733046,1.0,0.0
0.0,0.0,0.0,-0.49919709755381003,0.0,0.0
0.0,0.0,0.0,-0.4991598145586012,0.0,0.0
0.0,0.0,0.0,-0.4991196431498723,0.0,0.0
0.0,0.0,0.0,-0.4990764207721071,1.0,0.0
0.0,0.0,0.0,-0.4996739162208466,-1.0,0.0
0.0,0.0,0.0,-0.4989805319487825,-1.0,1.0
0.0,0.0,0.0,-0.5004217143339987,0.0,1.0
0.0,0.0,0.0,-0.5004652877540875,0.0,1.0
0.0,0.0,0.0,-0.5005004087679573,-1.0,1.0
0.0,0.0,0.0,-0.5008322130586661,1.0,1.0
0.0,0.0,0.0,-0.5004774013547635,1.0,0.0
0.0,0.0,0.0,-0.4991908559607863,0.0,0.0
0.0,0.0,0.0,-0.4991679522988446,-1.0,1.0
0.0,0.0,0.0,-0.5006032255850356,-1.0,1.0
0.0,0.0,0.0,-0.5007562113623081,-1.0,0.0
0.0,0.0,0.0,-0.4994722976923239,-1.0,0.0
0.0,0.0,0.0,-0.4991679522988446,1.0,0.0
0.0,0.0,0.0,-0.4994411691543197,1.0,1.0
0.0,0.0,0.0,-0.5008632058271809,-1.0,0.0
0.0,0.0,0.0,-0.4995347122459126,-1.0,0.0
0.0,0.0,0.0,-0.4990428555057575,-1.0,1.0
0.0,0.0,0.0,-0.5005588308456803,0.0,1.0
0.0,0.0,0.0,-0.5005850332030174,0.0,1.0
0.0,0.0,0.0,-0.5006032255850356,-1.0,1.0
0.0,0.0,0.0,-0.5007562113623081,0.0,1.0
0.0,0.0,0.0,-0.5007383071933967,0.0,1.0
0.0,0.0,0.0,-0.5007192112574314,1.0,1.0
0.0,0.0,0.0,-0.5004723464862199,1.0,0.0
0.0,0.0,0.0,-0.499307288843372,1.0,0.0
0.0,0.0,0.0,-0.499501144031336,-1.0,0.0
0.0,0.0,0.0,-0.4992437886376919,1.0,0.0
0.0,0.0,0.0,-0.4994722976923239,0.0,0.0
0.0,0.0,0.0,-0.4994995912320427,-1.0,0.0
0.0,0.0,0.0,-0.4991058699303794,0.0,0.0
0.0,0.0,0.0,-0.4990759540610795,0.0,0.0
0.0,0.0,0.0,-0.4990484522002461,0.0,0.0
0.0,0.0,0.0,-0.4990254180959962,1.0,0.0
0.0,0.0,0.0,-0.4992318769422922,-1.0,0.0
0.0,0.0,0.0,-0.4988923075561709,-1.0,1.0
0.0,0.0,0.0,-0.500900198841874,-1.0,1.0
0.0,0.0,0.0,-0.5009745819040039,1.0,1.0
0.0,0.0,0.0,-0.5008090804508696,1.0,0.0
0.0,0.0,0.0,-0.4991160279604634,0.0,0.0
0.0,0.0,0.0,-0.4991247813590434,-1.0,1.0
0.0,0.0,0.0,-0.5009895249902736,0.0,1.0
0.0,0.0,0.0,-0.5009627733410623,0.0,1.0
0.0,0.0,0.0,-0.5009323677251133,-1.0,1.0
0.0,0.0,0.0,-0.5006324803200936,-1.0,0.0
0.0,0.0,0.0,-0.4991177652613053,1.0,1.0
0.0,0.0,0.0,-0.500718632402911,0.0,1.0
0.0,0.0,0.0,-0.5007233104126596,1.0,1.0
0.0,0.0,0.0,-0.5007327582120679,0.0,1.0
0.0,0.0,0.0,-0.5007243439454795,1.0,0.0
0.0,0.0,0.0,-0.4994115154954664,-1.0,1.0
0.0,0.0,0.0,-0.5007629678594949,-1.0,1.0
0.0,0.0,0.0,-0.5005497934493504,0.0,1.0
0.0,0.0,0.0,-0.5005602044201096,-1.0,0.0
0.0,0.0,0.0,-0.499328764665969,1.0,1.0
0.0,0.0,0.0,-0.50061206120867,1.0,1.0
0.0,0.0,0.0,-0.5006192114852728,0.0,1.0
0.0,0.0,0.0,-0.5006139609162253,-1.0,1.0
0.0,0.0,0.0,-0.5005286778414346,0.0,1.0
0.0,0.0,0.0,-0.5005304689325446,1.0,1.0
0.0,0.0,0.0,-0.5005360559727906,-1.0,1.0
0.0,0.0,0.0,-0.5004973200545654,0.0,1.0
0.0,0.0,0.0,-0.500496768008571,-1.0,0.0
0.0,0.0,0.0,-0.4995293500086248,1.0,1.0
0.0,0.0,0.0,-0.5005228405545755,0.0,1.0
0.0,0.0,0.0,-0.5005172730528782,0.0,1.0
0.0,0.0,0.0,-0.5005107074460691,0.0,1.0
0.0,0.0,0.0,-0.5005033793863106,-1.0,0.0
0.0,0.0,0.0,-0.4996455571290813,0.0,0.0
0.0,0.0,0.0,-0.4996561042047247,1.0,1.0
0.0,0.0,0.0,-0.5005385538642011,0.0,1.0
0.0,0.0,0.0,-0.500526789146818,0.0,1.0
0.0,0.0,0.0,-0.5005150507585234,-1.0,0.0
0.0,0.0,0.0,-0.4997311722954591,-1.0,0.0
0.0,0.0,0.0,-0.4994533721249017,-1.0,1.0
0.0,0.0,0.0,-0.5003003621402997,0.0,1.0
0.0,0.0,0.0,-0.5003112664224401,1.0,0.0
0.0,0.0,0.0,-0.4994831089797629,0.0,0.0
0.0,0.0,0.0,-0.4994733990318186,-1.0,1.0
0.0,0.0,0.0,-0.500363013907894,0.0,1.0
0.0,0.0,0.0,-0.5003697838728866,1.0,0.0
0.0,0.0,0.0,-0.499513723057378,1.0,0.0
0.0,0.0,0.0,-0.4996131004903711,1.0,1.0
0.0,0.0,0.0,-0.5005033793863106,-1.0,0.0
0.0,0.0,0.0,-0.4996455571290813,0.0,0.0
0.0,0.0,0.0,-0.4996561042047247,-1.0,0.0
0.0,0.0,0.0,-0.4994383164286692,1.0,0.0
0.0,0.0,0.0,-0.4996437094776685,-1.0,0.0
0.0,0.0,0.0,-0.4993984973643309,1.0,0.0
0.0,0.0,0.0,-0.4996309955387118,0.0,0.0
0.0,0.0,0.0,-0.4996490054354604,1.0,1.0
0.0,0.0,0.0,-0.5006404499633,1.0,1.0
0.0,0.0,0.0,-0.5003412413670183,1.0,0.0
0.0,0.0,0.0,-0.4993693375584453,0.0,0.0
0.0,0.0,0.0,-0.4993529691353114,0.0,0.0
0.0,0.0,0.0,-0.4993369197059472,-1.0,1.0
0.0,0.0,0.0,-0.5004480714967705,1.0,0.0
0.0,0.0,0.0,-0.499361180319863,0.0,0.0
0.0,0.0,0.0,-0.4993511748598281,-1.0,1.0
0.0,0.0,0.0,-0.5005331963786656,-1.0,1.0
0.0,0.0,0.0,-0.5006006711239491,1.0,1.0
0.0,0.0,0.0,-0.5004999932949377,-1.0,1.0
0.0,0.0,0.0,-0.5005590925934181,1.0,1.0
0.0,0.0,0.0,-0.5004706499913752,0.0,1.0
0.0,0.0,0.0,-0.50047311237126,-1.0,1.0
0.0,0.0,0.0,-0.5004945463177795,1.0,1.0
0.0,0.0,0.0,-0.5004465923214395,1.0,0.0
0.0,0.0,0.0,-0.4995319298355243,0.0,0.0
0.0,0.0,0.0,-0.4995331484846301,-1.0,1.0
0.0,0.0,0.0,-0.5004994055768344,1.0,0.0
0.0,0.0,0.0,-0.4995662393402392,1.0,0.0
0.0,0.0,0.0,-0.4994674365611259,1.0,1.0
0.0,0.0,0.0,-0.50046685151537,0.0,1.0
0.0,0.0,0.0,-0.5004680701644757,0.0,1.0
0.0,0.0,0.0,-0.500467608445462,1.0,1.0
0.0,0.0,0.0,-0.5004470366889374,-1.0,1.0
0.0,0.0,0.0,-0.5004416795421414,0.0,1.0
0.0,0.0,0.0,-0.5004400967651544,-1.0,0.0
0.0,0.0,0.0,-0.4996027201434564,0.0,0.0
0.0,0.0,0.0,-0.4996070489882934,0.0,0.0
0.0,0.0,0.0,-0.4996131004903711,-1.0,0.0
0.0,0.0,0.0,-0.4994827269471218,1.0,0.0
0.0,0.0,0.0,-0.4995944653090314,1.0,1.0
0.0,0.0,0.0,-0.5005358937082282,1.0,1.0
0.0,0.0,0.0,-0.5003868995096289,0.0,1.0
0.0,0.0,0.0,-0.5003929510117067,-1.0,1.0
0.0,0.0,0.0,-0.5004807191093605,0.0,1.0
0.0,0.0,0.0,-0.5004744788365343,0.0,1.0
0.0,0.0,0.0,-0.5004677167983442,-1.0,0.0
0.0,0.0,0.0,-0.4996794849162508,0.0,0.0
0.0,0.0,0.0,-0.4996887335775599,1.0,1.0
0.0,0.0,0.0,-0.5004968114452928,1.0,1.0
0.0,0.0,0.0,-0.5003016431446086,1.0,0.0
0.0,0.0,0.0,-0.4995128169648209,1.0,0.0
0.0,0.0,0.0,-0.4996887335775599,0.0,0.0
0.0,0.0,0.0,-0.4996996378597004,-1.0,0.0
0.0,0.0,0.0,-0.4994614461357989,0.0,0.0
0.0,0.0,0.0,-0.4994497665605758,-1.0,1.0
0.0,0.0,0.0,-0.5003544428709188,0.0,1.0
